other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag
0,0,0,0,0,0,C                ,237.66,45.213,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,Chino            ,242.146,34.072,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,CoastalRanges    ,239.552,35.023,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,D                ,239.732,46.492,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,DeathValley      ,242.924,36.378,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,Elsinore         ,243.7,32.546,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,H                ,240.512,44.018,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,Helendale        ,243.072,34.861,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,J                ,238.891,41.694,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,JDF              ,233.788,46.883,66.8,1,-32.5,1,1.099,0.01,1,0,0,0,0
0,0,0,0,0,0,KK               ,237.407,47.451,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,Landers          ,243.555,34.667,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,LittleVentura01  ,240.764,34.346,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,MohawkValley     ,239.582,39.925,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,MojaveEasternMost,243.724,34.942,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,Nevada           ,243.991,36.618,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,NorthAmerica     ,254.007,38.001,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,PP               ,236.299,47.814,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,Pacific          ,240.132,32.523,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,PanamintValley   ,242.36,36.215,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,Restoftheworld   ,109.452,26.419,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,SEalaska         ,215.617,63.206,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,Salton           ,243.841,33.487,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,SanBernadino     ,243.35,34.063,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,SanDiego         ,242.924,32.384,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,SanJacinto       ,243.347,33.394,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,SierraBlock      ,240.597,36.746,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,SouthernIslands  ,241.401,33.499,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,U                ,238.21,44.001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,V                ,237.384,46.177,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,VerdugoHills     ,241.716,34.201,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,WVanIs           ,234.291,49.447,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,WesternMojave    ,242.36,34.88,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,WhiteWolf        ,241.732,35.294,0,1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,X                ,238.476,47.761,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,carson           ,240.652,38.762,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,cnv              ,242.745,39.951,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,coso             ,242.152,35.483,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,georgia          ,234.881,50.288,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,greenwood        ,237.351,38.892,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,labasin          ,241.819,34.037,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,lafayette        ,237.423,38.399,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,minioly          ,236.273,48.304,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,san_gabriel      ,241.835,34.429,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,sanfrancisco     ,237.708,37.642,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,wassuk           ,241.275,38.148,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,wnv              ,241.75,40.145,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,daisybanks       ,236.388,43.391,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,eelriver         ,235.26,41.407,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,nitinat          ,235.427,45.88,0,0,0,0,0,0,0,0,0,0,0
