lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust
234.599,46.7,0,0,NGH1_ACO,28.2,8.6,4.5,4.8,1,0,1,0,0,0
235.034,45.302,0,0,NCL1_ACO,20.8,23.2,6.5,6.8,1,0,1,0,0,0
234.806,44.429,0,0,NNP1_ACO,20.5,19.8,4.8,4.9,1,0,1,0,0,0
234.896,43.573,0,0,NGH1_ACO,22.1,16.8,9.2,9.7,1,0,1,0,0,0
224.772,59.528,0,14,ab44_PAN,2.671,5.947,0.089,0.106,1,0,1,0,0,0
225.353,56.245,0,46,ab48_PAN,-1.963,2.832,0.144,0.38,1,0,1,0,0,0
226.932,55.58,0,14,ab49_PAN,1.07,3.734,0.207,0.118,1,0,1,0,0,0
225.455,58.417,0,14,ab50_PAN,-0.38,1.074,0.103,0.125,1,0,1,0,0,0
227.086,56.798,0,14,ab51_PAN,-3.473,0.269,0.134,0.169,1,0,1,0,0,0
228.401,55.069,0,14,ais6_PAN,1.507,1.473,0.308,0.357,1,0,1,0,0,0
236.513,48.39,0,8,albh_PAN,6.511,4.372,0.068,0.057,1,0,1,0,0,0
297.66,82.494,0,47,alrt_PAN,-2.546,-1.808,0.172,0.22,1,0,1,0,0,0
237.858,48.174,0,13,arli_PAN,4.296,3.05,0.089,0.078,1,0,1,0,0,0
237.33,42.181,0,4,ashl_PAN,-1.95,6.751,0.098,0.084,1,0,1,0,0,0
242.846,34.468,0,28,avry_PAN,-12.338,13.329,0.194,0.109,1,0,1,0,0,0
234.865,48.835,0,8,bamf_PAN,10.103,6.871,0.085,0.084,1,0,1,0,0,0
242.795,40.413,0,17,bamo_PAN,-3.024,0.858,0.057,0.07,1,0,1,0,0,0
236.571,48.429,0,8,bces_PAN,6.192,3.921,0.172,0.104,1,0,1,0,0,0
237.343,49.104,0,14,bclc_PAN,4.035,2.688,0.096,0.127,1,0,1,0,0,0
236.853,49.115,0,14,bcli_PAN,5.579,3.45,0.09,0.089,1,0,1,0,0,0
237.461,49.221,0,14,bcmr_PAN,4.107,2.025,0.095,0.107,1,0,1,0,0,0
233.157,50.544,0,14,bcov_PAN,2.726,2.815,0.065,0.109,1,0,1,0,0,0
232.625,50.686,0,14,bcph_PAN,2.389,2.194,0.088,0.157,1,0,1,0,0,0
236.2,48.559,0,8,bcsm_PAN,7.374,4.361,0.249,0.256,1,0,1,0,0,0
236.911,49.276,0,14,bcvc_PAN,5.118,3.091,0.094,0.107,1,0,1,0,0,0
237.521,48.755,0,14,beli_PAN,4.744,2.647,0.086,0.093,1,0,1,0,0,0
237.875,47.617,0,8,bfir_PAN,5.025,2.665,0.304,0.39,1,0,1,0,0,0
235.747,47.539,0,8,bils_PAN,14.168,10.561,0.312,0.329,1,0,1,0,0,0
240.317,48.132,0,14,brew_PAN,2.052,1.121,0.041,0.048,1,0,1,0,0,0
295.304,32.37,0,14,brmu_PAN,0.018,0.201,0.141,0.115,1,0,1,0,0,0
236.984,49.27,0,14,brn3_PAN,4.968,3.198,0.523,0.5,1,0,1,0,0,0
236.978,49.275,0,14,brnb_PAN,4.339,3.03,0.211,0.212,1,0,1,0,0,0
237.868,47.554,0,8,bsum_PAN,4.749,4.005,0.194,0.398,1,0,1,0,0,0
237.203,45.486,0,7,bton_PAN,4.449,5.444,0.312,0.281,1,0,1,0,0,0
242.156,42.78,0,12,burn_PAN,-1.666,1.118,0.042,0.053,1,0,1,0,0,0
235.437,42.836,0,4,cabl_PAN,6.172,13.701,0.072,0.073,1,0,1,0,0,0
239.569,35.888,0,41,carh_PAN,-22.446,28.123,0.173,0.186,1,0,1,0,0,0
