lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_north_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_up_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate,model_east_vel_mogi,model_north_vel_mogi,model_up_vel,model_up_vel_residual,model_up_vel_rotation,model_up_elastic_segment,model_up_vel_block_strain_rate,model_up_vel_mogi
234.5990,46.7000,0,0,NGH1_ACO,28.2000,8.6000,4.5000,4.8000,1,0,1,0,0,0,0.0000,-2529731.1063,-3559545.9027,4634052.7573,5,26.1841,14.5165,-2.0159,5.9165,3.3457,9.0202,0.5380,0.2537,-23.3764,-5.7500,2.6836,0.0000,0.0000,0.0000,0.0000,-2.6607,-2.6607,0.0000,-0.0229,0.0000,0.0000
235.0340,45.3020,0,0,NCL1_ACO,20.8000,23.2000,6.5000,6.8000,1,0,1,0,0,0,0.0000,-2566681.4114,-3670234.4923,4526132.6500,5,20.2555,15.5970,-0.5445,-7.6030,0.9255,8.4751,0.3727,0.1499,-19.7027,-7.2718,2.7459,0.0000,0.0000,0.0000,0.0000,-2.7395,-2.7395,0.0000,-0.0064,0.0000,0.0000
234.8060,44.4290,0,0,NNP1_ACO,20.5000,19.8000,4.8000,4.9000,1,0,1,0,0,0,0.0000,-2620711.8899,-3715921.9964,4457369.6693,5,18.3079,19.2360,-2.1921,-0.5640,-0.6404,8.7609,0.3953,0.1201,-19.3437,-10.5952,3.2247,0.0000,0.0000,0.0000,0.0000,-3.2224,-3.2224,0.0000,-0.0023,0.0000,0.0000
234.8960,43.5730,0,0,NGH1_ACO,22.1000,16.8000,9.2000,9.7000,1,0,1,0,0,0,0.0000,-2652873.6929,-3774097.3545,4388940.8506,5,15.3561,16.9397,-6.7439,0.1397,-2.1424,8.6481,0.4851,0.0755,-17.9836,-8.3671,2.3472,0.0000,0.0000,0.0000,0.0000,-2.3463,-2.3463,0.0000,-0.0009,0.0000,0.0000
224.7720,59.5280,0,14,ab44_PAN,2.6710,5.9470,0.0890,0.1060,1,0,1,0,0,0,0.0000,-2292344.5757,-2274172.7061,5487954.6564,12,-0.8215,0.9726,-3.4925,-4.9744,0.4479,0.3226,1.2684,-0.6554,0.0010,0.0054,-0.0104,0.0000,0.0000,0.0000,0.0000,-0.3246,-0.3246,0.0000,0.3350,0.0000,0.0000
225.3530,56.2450,0,46,ab48_PAN,-1.9630,2.8320,0.1440,0.3800,1,0,1,0,0,0,0.0000,-2486300.5038,-2517127.0725,5294028.0097,43,-2.5947,4.5960,-0.6317,1.7640,-7.2612,-1.7696,-4.6718,-6.3734,0.0053,0.0077,-0.0147,0.0000,0.0000,0.0000,0.0000,-1.4085,-1.4085,0.0000,1.4232,0.0000,0.0000
226.9320,55.5800,0,14,ab49_PAN,1.0700,3.7340,0.2070,0.1180,1,0,1,0,0,0,0.0000,-2457791.2162,-2629394.9631,5252608.4879,12,0.0428,2.3545,-1.0272,-1.3795,0.2958,0.2634,0.2483,-2.1019,0.0048,0.0108,-0.0184,0.0000,0.0000,0.0000,0.0000,0.0418,0.0418,0.0000,-0.0233,0.0000,0.0000
225.4550,58.4170,0,14,ab50_PAN,-0.3800,1.0740,0.1030,0.1250,1,0,1,0,0,0,0.0000,-2339289.0466,-2376740.9985,5424313.8224,12,-0.3774,1.2909,0.0026,0.2169,0.4059,0.3040,0.7818,-0.9935,0.0015,0.0065,-0.0121,0.0000,0.0000,0.0000,0.0000,-0.1438,-0.1438,0.0000,0.1559,0.0000,0.0000
227.0860,56.7980,0,14,ab51_PAN,-3.4730,0.2690,0.1340,0.1690,1,0,1,0,0,0,0.0000,-2374137.4019,-2553624.5420,5327928.7492,12,0.2194,1.4292,3.6924,1.1602,0.3465,0.2592,0.1251,-1.1794,0.0020,0.0095,-0.0163,0.0000,0.0000,0.0000,0.0000,0.0549,0.0549,0.0000,-0.0387,0.0000,0.0000
228.4010,55.0690,0,14,ais6_PAN,1.5070,1.4730,0.3080,0.3570,1,0,1,0,0,0,0.0000,-2420582.3535,-2726463.3642,5220299.8051,12,0.2476,1.4914,-1.2594,0.0184,0.2799,0.2229,0.0292,-1.2835,0.0031,0.0151,-0.0230,0.0000,0.0000,0.0000,0.0000,0.0655,0.0655,0.0000,-0.0426,0.0000,0.0000
