name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,resolution_override,resolution_other,mesh_file_index,mesh_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,ss_reg_flag,ds_reg_flag,ts_reg_flag,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
Almanor                                                            ,238.8463,40.2424,238.8710,40.2010,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2514193.5251,-4163060.6846,4110000.9873,-2514450.9584,-4159433.8931,4113514.0122,5054.9532,155.4156,238.8587,40.2217,238.8587,40.2217,-2514322.4395,-4161247.6137,4111757.8271,-2514322.4395,-4161247.6137,7.5000,238.8587,40.2217,1,0,-1.1248,0.0000,3.3277,1.0889,0.0000,1.0660
Almanor                                                            ,238.8401,40.2885,238.8463,40.2424,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2514450.9584,-4159433.8931,4113514.0122,-2513187.6812,-4156328.2174,4117423.3314,5146.0276,174.1158,238.8432,40.2655,238.8432,40.2655,-2513819.5239,-4157881.3923,4115469.0122,-2513819.5239,-4157881.3923,7.5000,238.8432,40.2655,1,0,0.0237,0.0000,3.6458,1.2305,0.0000,0.9431
Almanor                                                            ,238.7655,40.3850,238.8401,40.2885,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2513187.6812,-4156328.2174,4117423.3314,-2514997.6293,-4147117.0333,4125597.9807,12450.0542,149.3684,238.8028,40.3367,238.8028,40.3368,-2514093.8554,-4151724.5902,4121512.6440,-2514093.8554,-4151724.5902,7.5000,238.8028,40.3368,1,0,-1.5324,0.0000,3.5509,1.0101,0.0000,1.2592
Almanor                                                            ,238.7452,40.4910,238.7655,40.3850,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2514997.6293,-4147117.0333,4125597.9807,-2512502.3845,-4139693.7798,4134563.8995,11895.9128,171.6685,238.7554,40.4380,238.7554,40.4380,-2513751.0983,-4143407.2004,4130082.7654,-2513751.0983,-4143407.2004,7.5000,238.7554,40.4380,1,2,-3.2455,0.0000,2.4856,0.3522,0.0000,0.7646
Blue Ridge - Gate Creek                                            ,238.2481,45.6906,238.2680,45.6338,50.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2340655.6349,-3782177.0591,4556404.2132,-2341716.4059,-3786829.6977,4551992.5940,6500.7253,166.1908,238.2580,45.6622,238.2581,45.6622,-2341186.3233,-3784503.8656,4554199.0022,-2341180.1875,-3784505.2645,7.5000,238.2580,45.6622,4,3,-0.7953,5.1481,0.0000,1.1595,0.8485,0.0000
Blue Ridge - Gate Creek                                            ,238.2680,45.6338,238.2744,45.5525,50.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2341716.4059,-3786829.6977,4551992.5940,-2344687.5493,-3792581.3567,4545670.2927,9049.7450,176.8344,238.2712,45.5932,238.2712,45.5932,-2343202.5636,-3789706.4738,4548832.6030,-2343196.9723,-3789709.3621,7.5000,238.2711,45.5931,4,3,-1.3896,4.7784,0.0000,1.1525,0.8417,0.0000
Blue Ridge - Gate Creek                                            ,238.2744,45.5525,238.2839,45.4866,50.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2344687.5493,-3792581.3567,4545670.2927,-2346805.7068,-3797415.0844,4540538.8570,7361.7669,174.2100,238.2792,45.5196,238.2792,45.5196,-2345747.0165,-3794998.8477,4543105.3413,-2345741.2524,-3795001.3736,7.5000,238.2791,45.5195,4,3,-1.2482,4.8162,0.0000,1.1524,0.8254,0.0000
Blue Ridge - Gate Creek                                            ,238.2839,45.4866,238.3030,45.4464,50.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2346805.7068,-3797415.0844,4540538.8570,-2347212.9767,-3800906.8182,4537405.6533,4710.9404,161.5073,238.2935,45.4665,238.2935,45.4665,-2347009.5015,-3799161.2081,4538972.5684,-2347003.2506,-3799161.9372,7.5000,238.2934,45.4665,4,3,-0.5399,5.0846,0.0000,1.1067,0.9944,0.0000
Canyon River                                                       ,236.3007,47.3061,236.3038,47.3107,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2395577.9014,-3592112.6019,4679987.7174,-2395175.0853,-3591929.5915,4680334.3451,562.5775,24.6239,236.3023,47.3084,236.3022,47.3084,-2395376.4956,-3592021.1002,4680161.0359,-2395374.7045,-3592025.0425,7.5000,236.3023,47.3084,5,6,-1.8292,1.4315,0.0000,0.7024,1.1972,0.0000
Canyon River                                                       ,236.3038,47.3107,236.3215,47.3212,60.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0.0000,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,1,1,1,-2395175.0853,-3591929.5915,4680334.3451,-2393589.6690,-3591955.5261,4681125.4476,1775.8374,48.8949,236.3126,47.3160,236.3126,47.3160,-2394382.4000,-3591942.5935,4680729.9420,-2394382.3291,-3591938.2639,7.5000,236.3127,47.3159,5,6,-1.9634,-0.1658,0.0000,0.8311,0.8113,0.0000
