other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,strain_rate,strain_rate_sig,strain_rate_flag,area_steradians,area_plate_carree,block_label,euler_lon_err,euler_lat_err,euler_rate,euler_rate_err
0,0,0,0,0,0,MohawkValley     ,239.5820,39.9250,62.5446,0,-42.6555,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,0,0.0000,0.0000,1.5157,0.0000
0,0,0,0,0,0,SierraBlock      ,240.5970,36.7460,210.8653,1,-6.8426,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,1,0.0000,0.0000,0.1465,0.0000
0,0,0,0,0,0,J                ,238.8910,41.6940,61.6378,0,-43.9053,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,2,0.0000,0.0000,1.1566,0.0000
0,0,0,0,0,0,H                ,240.5120,44.0180,62.7299,0,-45.1448,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,3,0.0000,0.0000,0.5665,0.0000
0,0,0,0,0,0,C                ,237.6600,45.2130,60.8504,0,-44.0079,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,4,0.0000,0.0000,1.1389,0.0000
0,0,0,0,0,0,PP               ,236.2990,47.8140,205.1991,0,61.3345,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,5,0.0000,0.0000,0.1000,0.0000
0,0,0,0,0,0,V                ,237.3840,46.1770,102.9627,0,-13.6579,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,6,0.0000,0.0000,0.0730,0.0000
0,0,0,0,0,0,KK               ,237.4070,47.4510,61.2467,0,-46.0253,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,7,0.0000,0.0000,0.6290,0.0000
0,0,0,0,0,0,daisybanks       ,236.3880,43.3910,60.2078,0,-43.4637,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,8,0.0000,0.0000,1.4653,0.0000
0,0,0,0,0,0,U                ,238.2100,44.0010,60.2298,0,-43.7928,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,9,0.0000,0.0000,1.3878,0.0000
0,0,0,0,0,0,wnv              ,241.7500,40.1450,64.0760,0,-44.8627,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,10,0.0000,0.0000,0.5888,0.0000
0,0,0,0,0,0,salish           ,236.6175,48.8082,230.7864,0,53.6113,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,11,0.0000,0.0000,0.3603,0.0000
0,0,0,0,0,0,X                ,238.4760,47.7610,61.3538,0,-45.3151,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,12,0.0000,0.0000,0.6412,0.0000
0,0,0,0,0,0,NorthAmerica     ,254.0070,38.0010,55.1731,1,-48.7800,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,13,0.0000,0.0000,0.0207,0.0000
0,0,0,0,0,0,nitinat          ,235.4270,45.8800,193.2980,0,48.1590,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,14,0.0000,0.0000,0.1331,0.0000
0,0,0,0,0,0,D                ,239.7320,46.4920,62.3284,0,-44.4497,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,15,0.0000,0.0000,0.5810,0.0000
0,0,0,0,0,0,YFTB             ,240.4330,46.5460,66.9937,0,-43.6830,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,16,0.0000,0.0000,0.3128,0.0000
0,0,0,0,0,0,cnv              ,242.7450,39.9510,62.9709,0,-51.8776,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,17,0.0000,0.0000,0.1374,0.0000
0,0,0,0,0,0,JDF              ,233.7880,46.8830,66.8661,1,-32.4256,1,1.0990,0.0100,1,0,0,0,0,-1.0000,-1.0000,18,0.0000,0.0000,1.0939,0.0000
0,0,0,0,0,0,eelriver         ,235.2600,41.4070,60.1554,0,-41.5267,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,19,0.0000,0.0000,3.5970,0.0000
0,0,0,0,0,0,carson           ,240.6520,38.7620,62.1546,0,-41.3463,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,20,0.0000,0.0000,2.2166,0.0000
0,0,0,0,0,0,Nevada           ,243.9910,36.6180,29.8061,1,-78.2436,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,21,0.0000,0.0000,0.0441,0.0000
0,0,0,0,0,0,DeathValley      ,242.9240,36.3780,236.3959,1,31.0453,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,22,0.0000,0.0000,0.3666,0.0000
0,0,0,0,0,0,SanJacinto       ,243.3470,33.3940,195.0342,1,-19.1750,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,23,0.0000,0.0000,0.3814,0.0000
0,0,0,0,0,0,Elsinore         ,243.7000,32.5460,192.2506,1,-25.9952,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,24,0.0000,0.0000,0.3872,0.0000
0,0,0,0,0,0,SanBernadino     ,243.3500,34.0630,241.9893,1,33.1894,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,25,0.0000,0.0000,6.8257,0.0000
0,0,0,0,0,0,Salton           ,243.8410,33.4870,74.5388,1,-40.2039,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,26,0.0000,0.0000,1.1274,0.0000
0,0,0,0,0,0,san_gabriel      ,241.8350,34.4290,110.7410,1,-56.9088,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,27,0.0000,0.0000,0.5196,0.0000
0,0,0,0,0,0,WhiteWolf        ,241.7320,35.2940,235.1900,1,28.2847,1,0.0000,1.0000,0,0,0,0,0,-1.0000,-1.0000,28,0.0000,0.0000,0.8073,0.0000
0,0,0,0,0,0,WesternMojave    ,242.3600,34.8800,85.2714,1,-45.8729,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,29,0.0000,0.0000,0.4903,0.0000
0,0,0,0,0,0,SouthernIslands  ,241.4010,33.4990,160.8146,1,-43.0848,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,30,0.0000,0.0000,0.4108,0.0000
0,0,0,0,0,0,Pacific          ,240.1320,32.5230,105.8961,1,-50.5645,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,31,0.0000,0.0000,0.7527,0.0000
0,0,0,0,0,0,Chino            ,242.1460,34.0720,240.4332,1,32.3702,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,32,0.0000,0.0000,8.4486,0.0000
0,0,0,0,0,0,labasin          ,241.8190,34.0370,66.9637,0,-38.6933,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,33,0.0000,0.0000,3.6203,0.0000
0,0,0,0,0,0,VerdugoHills     ,241.7160,34.2010,66.2137,1,-37.7369,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,34,0.0000,0.0000,4.1205,0.0000
0,0,0,0,0,0,SanDiego         ,242.9240,32.3840,79.4724,1,-44.3394,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,35,0.0000,0.0000,1.3034,0.0000
0,0,0,0,0,0,Landers          ,243.5550,34.6670,68.1483,1,-38.4719,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,36,0.0000,0.0000,1.3010,0.0000
0,0,0,0,0,0,Helendale        ,243.0720,34.8610,69.5563,1,-38.9857,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,37,0.0000,0.0000,1.0921,0.0000
0,0,0,0,0,0,MojaveEasternMost,243.7240,34.9420,243.3405,1,33.4460,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,38,0.0000,0.0000,0.9062,0.0000
0,0,0,0,0,0,PanamintValley   ,242.3600,36.2150,66.2127,1,-39.9022,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,39,0.0000,0.0000,1.0473,0.0000
0,0,0,0,0,0,coso             ,242.1520,35.4830,241.1902,0,34.9053,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,40,0.0000,0.0000,7.3316,0.0000
0,0,0,0,0,0,wassuk           ,241.2750,38.1480,63.2828,0,-38.8862,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,41,0.0000,0.0000,2.5806,0.0000
0,0,0,0,0,0,CoastalRanges    ,239.5520,35.0230,74.1390,1,-44.2614,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,42,0.0000,0.0000,1.6359,0.0000
0,0,0,0,0,0,LittleVentura01  ,240.7640,34.3460,66.4650,1,-39.1954,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,43,0.0000,0.0000,3.3269,0.0000
0,0,0,0,0,0,sanfrancisco     ,237.7080,37.6420,224.5214,0,27.8304,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,44,0.0000,0.0000,1.2386,0.0000
0,0,0,0,0,0,lafayette        ,237.4230,38.3990,208.1081,0,-2.7833,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,45,0.0000,0.0000,0.1747,0.0000
0,0,0,0,0,0,greenwood        ,237.3510,38.8920,234.2973,0,37.5020,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,46,0.0000,0.0000,2.9661,0.0000
0,0,0,0,0,0,SEalaska         ,215.6170,63.2060,37.0326,0,-68.1286,0,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,47,0.0000,0.0000,0.3135,0.0000
0,0,0,0,0,0,Restoftheworld   ,109.4520,26.4190,311.2178,1,64.4906,1,0.0000,0.0000,0,0,0,0,0,-1.0000,-1.0000,48,0.0000,0.0000,0.0734,0.0000
